Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
Petrol,10000,Manual,2,Maruti,Maruti XL6,2021,950000.0,2021,6,1462,19.01,Kolkata,3
Petrol,34339,Automatic,2,Toyota,Toyota Corolla Altis,2018,1124000.0,2018,5,1798,14.28,Kolkata,6
Petrol,15456,Manual,1,Kia,Kia Seltos,2020,1057000.0,2020,5,1497,16.8,Kolkata,4
Petrol,68000,Manual,1,Hyundai,Hyundai Santro,2018,385000.0,2018,5,1086,20.3,Kolkata,6
Petrol,10000,Manual,1,Maruti,Maruti SX4 S Cross,2021,875000.0,2021,5,1462,18.55,Kolkata,3
Diesel,100000,Manual,1,Mahindra,Mahindra TUV 300,2017,520000.0,2017,7,1493,18.49,Kolkata,7
Diesel,59639,Manual,1,Mahindra,Mahindra TUV 300,2019,675000.0,2019,7,1493,18.49,Kolkata,5
Petrol,50000,Manual,1,Maruti,Maruti Celerio,2017,360000.0,2017,5,998,23.1,Kolkata,7
Petrol,37000,Automatic,1,Audi,Audi A6,2016,1795000.0,2016,5,1798,15.26,Kolkata,8
Petrol,60000,Manual,2,Renault,Renault Scala,2013,235000.0,2013,5,1498,16.95,Kolkata,11
Petrol,8000,Manual,1,Hyundai,Hyundai i20 N Line,2022,900000.0,2022,5,998,20.0,Kolkata,2
Diesel,31000,Manual,1,Maruti,Maruti Ertiga,2017,800000.0,2017,7,1248,24.52,Kolkata,7
Petrol,44890,Manual,1,Honda,Honda Amaze,2016,357000.0,2016,5,1198,18.0,Kolkata,8
Diesel,48752,Manual,2,Hyundai,Hyundai Creta,2017,620000.0,2017,5,1396,22.1,Kolkata,7
Diesel,10000,Automatic,1,Tata,Tata New Safari,2022,2350000.0,2022,6,1956,14.08,Kolkata,2
Petrol,5151,Manual,1,Mahindra,Mahindra KUV 100,2017,372000.0,2017,5,1198,18.15,Kolkata,7
Petrol,28807,Manual,1,Maruti,Maruti Alto 800,2017,275000.0,2017,5,796,22.05,Kolkata,7
Petrol,30000,Manual,2,Hyundai,Hyundai Santro Xing,2014,220000.00000000003,2014,5,1086,17.92,Kolkata,10
Petrol,20593,Manual,1,Honda,Honda City,2019,763000.0,2019,5,1497,17.4,Kolkata,5
Petrol,82879,Manual,2,Honda,Honda Amaze,2015,260000.0,2015,5,1198,18.0,Kolkata,9
Petrol,13407,Manual,1,Honda,Honda City,2022,1015000.0,2022,5,1498,18.6,Kolkata,2
Petrol,100000,Manual,1,Maruti,Maruti Ignis,2019,409999.99999999994,2019,5,1197,20.89,Kolkata,5
Diesel,66000,Manual,1,Maruti,Maruti Ertiga,2018,791000.0,2018,7,1248,25.47,Kolkata,6
Diesel,177000,Manual,1,Toyota,Toyota Innova,2015,745000.0,2015,7,2494,12.99,Kolkata,9
Diesel,21100,Manual,1,Toyota,Toyota Innova Crysta,2021,1850000.0,2021,7,2393,12.0,Kolkata,3
