Fuel_Type,Kilometers_Driven,Transmission_Type,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,Car_Price,Registration_Year,No_of_Seats,Engine_CC,Mileage(kmpl),Location,Car_Age
4.0,2.1276595744680852e-05,1.0,1,8.0,62.0,2018,725000.0,2018,5,1497,17.4,4.0,6
0.0,7.607455306200075e-05,1.0,1,28.0,261.0,2022,772000.0,2022,5,1199,26.49,4.0,2
4.0,8.368901163277262e-06,1.0,1,9.0,73.0,2017,254999.99999999997,2017,5,814,21.1,4.0,7
1.0,0.000125,1.0,1,17.0,142.0,2021,1673999.9999999998,2021,7,2179,15.1,4.0,3
1.0,2.2222222222222223e-05,1.0,1,8.0,62.0,2015,525000.0,2015,5,1498,25.1,4.0,9
4.0,2.154151049071561e-05,1.0,1,20.0,178.0,2016,295000.0,2016,5,998,20.51,4.0,8
4.0,1.5625e-05,1.0,3,9.0,87.0,2014,235000.0,2014,5,1197,20.36,4.0,10
1.0,1.923076923076923e-05,1.0,1,30.0,281.0,2020,495000.0,2020,5,1498,21.66,4.0,4
4.0,4e-05,1.0,1,8.0,62.0,2019,685000.0,2019,5,1497,16.8,4.0,5
4.0,6.666666666666667e-05,1.0,2,9.0,73.0,2013,186000.0,2013,5,814,21.1,4.0,11
4.0,2.2222222222222223e-05,1.0,1,13.0,105.0,2020,1265000.0,2020,5,1353,16.5,4.0,4
4.0,1.5384615384615384e-05,0.0,1,9.0,72.0,2018,894999.9999999999,2018,5,1591,14.8,4.0,6
1.0,1.5384615384615384e-05,1.0,1,12.0,99.0,2018,950000.0,2018,5,1956,17.1,4.0,6
4.0,4.623636027371925e-05,1.0,1,8.0,62.0,2019,727000.0,2019,5,1497,17.4,4.0,5
4.0,0.00011980352222355337,1.0,1,20.0,173.0,2016,426999.99999999994,2016,5,1197,22.38,4.0,8
1.0,1.3877902216300983e-05,1.0,2,17.0,133.0,2016,875000.0,2016,7,2179,15.4,4.0,8
4.0,1.9029857846961882e-05,1.0,1,9.0,76.0,2017,349000.0,2017,5,1197,18.9,4.0,7
4.0,2.24517287831163e-05,0.0,2,8.0,62.0,2014,450000.0,2014,5,1497,18.0,4.0,10
4.0,2.2727272727272726e-05,1.0,2,20.0,173.0,2014,320000.0,2014,5,1197,18.6,4.0,10
1.0,1.8838067967749228e-05,1.0,1,9.0,77.0,2019,646000.0,2020,5,1186,26.2,4.0,5
4.0,0.0001,1.0,2,20.0,179.0,2021,950000.0,2021,6,1462,19.01,4.0,3
4.0,2.9121407146393315e-05,0.0,2,29.0,266.0,2018,1124000.0,2018,5,1798,14.28,4.0,6
4.0,6.469979296066253e-05,1.0,1,13.0,105.0,2020,1057000.0,2020,5,1497,16.8,4.0,4
4.0,1.4705882352941177e-05,1.0,1,9.0,79.0,2018,385000.0,2018,5,1086,20.3,4.0,6
4.0,0.0001,1.0,1,20.0,172.0,2021,875000.0,2021,5,1462,18.55,4.0,3
1.0,1e-05,1.0,1,17.0,137.0,2017,520000.0,2017,7,1493,18.49,4.0,7
1.0,1.6767551434464027e-05,1.0,1,17.0,137.0,2019,675000.0,2019,7,1493,18.49,4.0,5
4.0,2e-05,1.0,1,20.0,154.0,2017,360000.0,2017,5,998,23.1,4.0,7
4.0,2.7027027027027027e-05,0.0,1,0.0,4.0,2016,1795000.0,2016,5,1798,15.26,4.0,8
4.0,1.6666666666666667e-05,1.0,2,26.0,232.0,2013,235000.0,2013,5,1498,16.95,4.0,11
4.0,0.000125,1.0,1,9.0,90.0,2022,900000.0,2022,5,998,20.0,4.0,2
1.0,3.2258064516129034e-05,1.0,1,20.0,159.0,2017,800000.0,2017,7,1248,24.52,4.0,7
4.0,2.2276676319893072e-05,1.0,1,8.0,58.0,2016,357000.0,2016,5,1198,18.0,4.0,8
1.0,2.0511978995733507e-05,1.0,2,9.0,72.0,2017,620000.0,2017,5,1396,22.1,4.0,7
1.0,0.0001,0.0,1,28.0,253.0,2022,2350000.0,2022,6,1956,14.08,4.0,2
4.0,0.00019413706076490002,1.0,1,17.0,128.0,2017,372000.0,2017,5,1198,18.15,4.0,7
4.0,3.4713784843961534e-05,1.0,1,20.0,149.0,2017,275000.0,2017,5,796,22.05,4.0,7
4.0,3.3333333333333335e-05,1.0,2,9.0,80.0,2014,220000.00000000003,2014,5,1086,17.92,4.0,10
4.0,4.85601903559462e-05,1.0,1,8.0,62.0,2019,763000.0,2019,5,1497,17.4,4.0,5
4.0,1.2065782646991397e-05,1.0,2,8.0,58.0,2015,260000.0,2015,5,1198,18.0,4.0,9
4.0,7.458790184232118e-05,1.0,1,8.0,62.0,2022,1015000.0,2022,5,1498,18.6,4.0,2
4.0,1e-05,1.0,1,20.0,166.0,2019,409999.99999999994,2019,5,1197,20.89,4.0,5
1.0,1.5151515151515151e-05,1.0,1,20.0,159.0,2018,791000.0,2018,7,1248,25.47,4.0,6
1.0,5.649717514124294e-06,1.0,1,29.0,274.0,2015,745000.0,2015,7,2494,12.99,4.0,9
1.0,4.739336492890995e-05,1.0,1,29.0,275.0,2021,1850000.0,2021,7,2393,12.0,4.0,3
1.0,8.333333333333334e-06,1.0,1,28.0,258.0,2005,110000.00000000001,2005,1,1948,12.2,4.0,19
1.0,2.261062247043661e-05,0.0,1,1.0,18.0,2018,3900000.0,2018,4,2993,17.09,4.0,6
1.0,1.4285714285714285e-05,0.0,3,29.0,270.0,2015,1350000.0,2015,7,2982,12.55,4.0,9
4.0,2.2222222222222223e-05,1.0,1,8.0,68.0,2019,650000.0,2019,5,1199,17.5,4.0,5
4.0,2e-05,1.0,1,9.0,70.0,2021,1600000.0,2021,6,1999,14.5,4.0,3
4.0,1.2979933023545598e-05,1.0,1,20.0,173.0,2019,449000.0,2019,5,1197,22.38,4.0,5
4.0,2.3626698168930892e-05,1.0,1,28.0,261.0,2021,517000.0,2021,5,1199,19.28,4.0,3
4.0,2e-05,1.0,1,30.0,285.0,2017,500000.0,2017,5,1199,16.2,4.0,7
4.0,2.6884611248521347e-05,1.0,1,20.0,173.0,2015,400000.0,2015,5,1197,22.38,4.0,9
1.0,1.6252234682268813e-05,1.0,1,20.0,151.0,2017,459999.99999999994,2017,5,1248,27.39,4.0,7
4.0,2.0833333333333333e-05,1.0,1,9.0,89.0,2016,580000.0,2016,5,1197,17.19,4.0,8
1.0,1.343291601740906e-05,1.0,1,20.0,176.0,2017,643000.0,2017,5,1248,24.3,4.0,7
4.0,8.333333333333334e-06,1.0,1,27.0,234.0,2011,200000.0,2011,5,1198,16.25,4.0,13
4.0,8.49762066621346e-05,1.0,1,20.0,170.0,2020,411000.00000000006,2020,5,998,21.7,4.0,4
